name;price;brend;url;article;author;genre;language;year;cover
Арена. Политический детектив. Выпуск 7;;Московский рабочий;https://www.wildberries.ru/catalog/271056155/detail.aspx;271056155;Дюрренматт Фридрих;"Триллеры; Детективы для взрослых";Русский;1993;Мягкая
Арена. Политический детектив. Выпуск 7;;Московский рабочий;https://www.wildberries.ru/catalog/267331147/detail.aspx;267331147;Дюрренматт Фридрих;"Фантастика и фэнтези для взрослых; Детективы для взрослых; Проза для взрослых";Русский;1993;Мягкая
Подвиг № 3, 1968;;Молодая гвардия;https://www.wildberries.ru/catalog/263013870/detail.aspx;263013870;"Санита Жан; Дюрренматт Фридрих";"Приключенческая литература для взрослых; Книги для подростков";русский;1968;Твердая обложка
Подвиг № 4, 1968;;Молодая гвардия;https://www.wildberries.ru/catalog/263013572/detail.aspx;263013572;"Санита Жан; Дюрренматт Фридрих";"Приключенческая литература для взрослых; Книги для подростков";русский;1968;
Современный швейцарский детектив;;Радуга;https://www.wildberries.ru/catalog/272517611/detail.aspx;272517611;"Глаузер Фридрих; Нестер Маркус П.; Дюрренматт Фридрих";Детективы для взрослых;Русский;1989;Твердая
Из копилки детектива. Том 5. Часть А;;Инициатор;https://www.wildberries.ru/catalog/271078791/detail.aspx;271078791;"Пристли Джон Бойнтон; Дюрренматт Фридрих";Детективы для взрослых;Русский;1993;Твердая
Судья и его палач. Обещание;;Азбука;https://www.wildberries.ru/catalog/260302618/detail.aspx;260302618;Дюрренматт Ф.;Детективы для взрослых;;;Твердый переплет
Политический детектив. Подвиг. Выпуск 4;;Прибой, Сельская молодежь;https://www.wildberries.ru/catalog/107353203/detail.aspx;107353203;Жорж Сименон, Фридрих Дюрренматт, Роберт Ладлем;Детективы;Русский;1993;
Правосудие. Грек ищет гречанку. Авария. Лунное затмение. ...;;Радуга;https://www.wildberries.ru/catalog/245623261/detail.aspx;245623261;Фридрих Дюрренматт;Современная проза;;1990;
Арена. Политический детектив. Выпуск 7;;Московский рабочий;https://www.wildberries.ru/catalog/267595162/detail.aspx;267595162;"Блик Оливер; Дюрренматт Фридрих; Черняк Виктор Львович (сост.)";"Проза для взрослых; Детективы для взрослых";Русский;1993;Мягкая
Судья и его палач. Обещание;;Иностранка;https://www.wildberries.ru/catalog/254297790/detail.aspx;254297790;Фридрих Райнхольд Дюрренматт;Детективы для взрослых;;;Твердая обложка
"Афера ""Бьютимейкер"". Ловушка для ""Золушки""";;Посейлон;https://www.wildberries.ru/catalog/268694223/detail.aspx;268694223;"Роберт Уэйд; Себастьен Жапризо; Фридрих Дюрренматт";Детективы для взрослых;русский;;
Из копилки детектива. Том 5. Часть А;;Инициатор;https://www.wildberries.ru/catalog/268107083/detail.aspx;268107083;"Пристли Джон Бойнтон; Дюрренматт Фридрих";"Детективы для взрослых; Триллеры";русский;1993;
Судья и его палач. Обещание;;Иностранка;https://www.wildberries.ru/catalog/265020459/detail.aspx;265020459;Дюрренматт Ф;;Русский;2024;
Судья и его палач. Обещание;;Иностранка;https://www.wildberries.ru/catalog/261115249/detail.aspx;261115249;Дюрренматт Ф;;Русский;2024;
Лабиринты;;Азбука;https://www.wildberries.ru/catalog/209179597/detail.aspx;209179597;Дюрренматт Ф.;;Русский;2018;
Судья и его палач. Обещание;;Иностранка;https://www.wildberries.ru/catalog/251935482/detail.aspx;251935482;Дюрренматт Ф.;Детективы для взрослых;русский;;твердая
Лабиринты;;Азбука;https://www.wildberries.ru/catalog/8655801/detail.aspx;8655801;Дюрренматт Ф.;Проза для взрослых;русский;;мягкая
В мире гость;;Издательство Евразия;https://www.wildberries.ru/catalog/259892665/detail.aspx;259892665;Коллектив авторов;Проза для взрослых;;2002;
Баскервильская мистерия. Этюд в детективных тонах;;Текст;https://www.wildberries.ru/catalog/189963618/detail.aspx;189963618;Клугер Даниэль;Литературоведение и критика;;;твердая (плотная бумага или картон)
Баскервильская мистерия: Этюд в детективных тонах;;Книжный двор;https://www.wildberries.ru/catalog/247917904/detail.aspx;247917904;Клугер Д.;Литературоведение и критика;русский;;твердая
Баскервильская мистерия. Этюд в детективных тонах;;Текст;https://www.wildberries.ru/catalog/236481247/detail.aspx;236481247;Клугер Даниэль;Литературоведение и критика;;;твердая (плотная бумага или картон)
Баскервильская мистерия. Этюд в детективных тонах;;Текст;https://www.wildberries.ru/catalog/259623799/detail.aspx;259623799;Клугер Даниэль;Литературоведение и критика;;;твердая (плотная бумага или картон)
Стальной прыжок;;МИК;https://www.wildberries.ru/catalog/271691013/detail.aspx;271691013;Не указан;"Фантастика и фэнтези для взрослых; Книги для подростков";русский;1991;
Баскервильская мистерия. Этюд в детективных тонах;;;https://www.wildberries.ru/catalog/241582464/detail.aspx;241582464;Клугер Даниэль;;;2023;твердая
Баскервильская мистерия. Этюд в детективных тонах;;Текст;https://www.wildberries.ru/catalog/233259533/detail.aspx;233259533;Клугер Даниэль;;Русский;2023;
Библиотека приключений в пяти томах (1966 год). 5 книг;;КнигоЕДЪ;https://www.wildberries.ru/catalog/232569753/detail.aspx;232569753;;"Художественная литература; Проза для взрослых";русский;1966;
